,frame.time_epoch,frame.len,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,ipv6.src,ipv6.dst
72,1499454302.0796523,159,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
537,1499450210.4962766,135,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
600,1499455022.07852,74,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
146,1499454097.4326642,190,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
248,1499454261.2044291,66,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
192,1499454067.7013671,156,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
392,1499453739.722702,170,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,49981.0,80.0,,,,,,,,,,,
99,1499450200.8737988,111,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
490,1499453981.683384,140,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
206,1499454422.8979514,111,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
191,1499453692.9027832,110,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,47998.0,80.0,,,,,,,,,,,
26,1499453982.547223,60,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,54631.0,80.0,,,,,,,,,,,
433,1499454280.8598263,82,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
459,1499450354.8716085,181,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
193,1499454491.5034776,146,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
439,1499454864.7368605,95,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
416,1499453823.9014895,116,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
298,1499453838.0999632,124,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
357,1499454754.111599,128,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
430,1499450228.52695,120,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
87,1499454598.2633438,133,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
552,1499454603.5662467,178,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
139,1499454151.1168923,177,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
7,1499454004.576619,60,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,55226.0,80.0,,,,,,,,,,,
468,1499454310.746223,148,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
61,1499455107.391152,118,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
287,1499454322.5685494,81,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
374,1499454083.885916,215,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
499,1499454467.2061818,74,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
602,1499454078.3625038,63,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
375,1499454622.7347474,172,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
563,1499454176.6358016,138,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
557,1499450092.0499492,186,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
122,1499454945.2161171,82,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
283,1499454939.011053,143,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
237,1499454481.0689218,154,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
200,1499454592.0218728,175,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
210,1499454781.5882452,138,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
14,1499454732.430704,60,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,36722.0,,,,,,,,,,,
71,1499455108.3519816,183,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
232,1499455219.049425,103,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
116,1499454335.1866226,121,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
588,1499454047.2296145,158,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
125,1499454118.951707,146,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
489,1499454631.9499989,149,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
584,1499454736.4552782,145,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
41,1499454059.5156033,182,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
121,1499454214.3229797,176,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
204,1499449891.965333,156,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
91,1499450199.102166,1780,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,55170.0,,,,,,,,,,,
461,1499454676.4959726,143,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
332,1499454463.1992574,201,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
157,1499454391.2876034,107,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
503,1499453946.7328146,197,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
479,1499454158.9916549,145,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
519,1499454700.978299,134,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
185,1499454415.0817604,70,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
32,1499454555.7042525,135,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
150,1499454897.533814,107,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
131,1499450294.0316348,184,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
514,1499454038.528387,122,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,57373.0,80.0,,,,,,,,,,,
405,1499454617.635117,70,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
101,1499450286.7719204,166,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
566,1499454408.7802193,82,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
198,1499453746.083299,178,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
367,1499453973.7190332,167,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
424,1499454548.0734556,179,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
256,1499454345.9645455,159,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
54,1499454419.148032,161,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
401,1499454887.3444147,139,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
432,1499454422.8429866,186,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
208,1499450222.7488782,180,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
213,1499455048.615794,152,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
310,1499454321.1745214,137,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
50,1499454694.1839385,144,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
511,1499454218.6880045,150,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
520,1499450119.7397766,141,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
565,1499454974.929615,117,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
238,1499454511.9415047,123,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
175,1499454078.122533,155,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
292,1499454560.0518746,125,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
62,1499454039.7061858,161,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
27,1499453813.742256,60,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,49981.0,80.0,,,,,,,,,,,
399,1499454053.3778074,164,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
182,1499454465.1823142,85,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
118,1499454034.2055502,137,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
338,1499454304.3971264,130,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
431,1499454807.3536005,126,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
562,1499454314.204861,3586,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
480,1499454384.0521438,62,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
69,1499453984.380381,183,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
427,1499454192.7870498,108,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,172.16.0.1,80.0,80.0,,,,,,,,,,,
443,1499454434.2163906,134,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
467,1499454231.504381,116,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
152,1499454646.2369013,154,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
590,1499454157.9541736,67,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
601,1499453946.15347,127,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,57373.0,80.0,,,,,,,,,,,
571,1499454087.9509232,179,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
487,1499454434.8844893,181,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
358,1499454160.354081,181,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
21,1499454546.821352,2974,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,55984.0,,,,,,,,,,,
488,1499455073.8760796,151,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
254,1499450185.6187837,139,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
180,1499454378.9150062,155,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
188,1499453966.7493727,153,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
138,1499454729.1423268,96,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
575,1499454433.7786126,150,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
257,1499454032.2398407,114,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
378,1499454289.4149082,138,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
444,1499454294.2884226,110,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
539,1499454604.27154,174,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
309,1499454416.8640342,145,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
312,1499454897.631535,154,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,80.0,80.0,,,,,,,,,,,
291,1499454227.2009945,95,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
485,1499450112.29021,127,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
466,1499453906.4786935,89,00:19:b9:0a:69:f1,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,50702.0,,,,,,,,,,,
19,1499454740.661716,60,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,58734.0,80.0,,,,,,,,,,,
102,1499453910.852553,142,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
404,1499450089.3798397,162,00:c1:b1:14:eb:31,00:c1:b1:14:eb:31,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
107,1499450147.007387,97,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
44,1499454160.7745426,113,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
22,1499454666.527728,60,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,172.16.0.1,192.168.10.50,56738.0,80.0,,,,,,,,,,,
442,1499454737.0577152,149,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
326,1499453953.7919796,136,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,192.168.10.50,80.0,80.0,,,,,,,,,,,
388,1499454565.422741,87,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,192.168.10.50,172.16.0.1,80.0,80.0,,,,,,,,,,,
